taxid,name
562,Escherichia coli
3702,Arabidopsis thaliana
4932,Saccharomyces cerevisiae
6239,Caenorhabditis elegans
7227,Drosophila melanogaster
7955,Danio rerio
8364,Xenopus tropicalis
9606,Homo sapiens
10090,Mus musculus
83333,Escherichia coli K-12
